enabled,slug,category,title,author,reference,url
1,zlatoust_ioann_tolkovanie_na_evangelie_ot_ioanna,commentaries,Толкование на Евангелие от Иоанна,Златоуст Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/zlatoust_ioann/tolkovanie_na_evangelie_ot_ioanna.zip
1,zlatoust_ioann_tolkovanie_na_evangelie_ot_matfeya_v_dvuh_knigah_kniga_I,commentaries,Толкование на Евангелие от Матфея. В двух книгах. Книга I,Златоуст Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/zlatoust_ioann/tolkovanie_na_evangelie_ot_matfeya_v_dvuh_knigah_kniga_I.zip
1,zlatoust_ioann_tolkovanie_na_evangelie_ot_matfeya_v_dvuh_knigah_kniga_II,commentaries,Толкование на Евангелие от Матфея. В двух книгах. Книга II,Златоуст Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/zlatoust_ioann/tolkovanie_na_evangelie_ot_matfeya_v_dvuh_knigah_kniga_II.zip
1,zlatoust_sv_ioann_tolkovanie_na_svyatogo_matfeya_evangelista,commentaries,Толкование на святого Матфея Евангелиста,Златоуст Св. Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/zlatoust_sv_ioann/tolkovanie_na_svyatogo_matfeya_evangelista.zip
1,kineshemskiy_svyashchennomuchenik_vasiliy_besedi_na_evangelie_ot_marka,commentaries,Беседы на Евангелие от Марка,Кинешемский Священномученик Василий,Православная литература (RoyalLib),https://royallib.com/get/txt/kineshemskiy_svyashchennomuchenik_vasiliy/besedi_na_evangelie_ot_marka.zip
1,svyatogorets_nikodim_tolkovanie_kanona_na_vozdvigenie,commentaries,Толкование канона на Воздвижение,Святогорец Никодим,Православная литература (RoyalLib),https://royallib.com/get/txt/svyatogorets_nikodim/tolkovanie_kanona_na_vozdvigenie.zip
1,serbskiy_velimirovich_svyatitel_nikolay_otche_nash_tolkovanie_molitvi_gospodney,commentaries,Отче наш. Толкование молитвы Господней,Сербский (Велимирович) Святитель Николай,Православная литература (RoyalLib),https://royallib.com/get/txt/serbskiy_velimirovich_svyatitel_nikolay/otche_nash_tolkovanie_molitvi_gospodney.zip
1,serbskiy_svyatitel_nikolay_obyasnenie_desyati_zapovedey_dannih_moiseyu,commentaries,"Объяснение десяти заповедей, данных Моисею",Сербский святитель Николай,Православная литература (RoyalLib),https://royallib.com/get/txt/serbskiy_svyatitel_nikolay/obyasnenie_desyati_zapovedey_dannih_moiseyu.zip
1,sirin_efrem_tolkovanie_na_chetveroevangelie,commentaries,Толкование на Четвероевангелие,Сирин Ефрем,Православная литература (RoyalLib),https://royallib.com/get/txt/sirin_efrem/tolkovanie_na_chetveroevangelie.zip
1,sirin_prepodobniy_efrem_sobranie_tvoreniy_tolkovanie_na_chetveroevangelie,commentaries,Собрание творений. Толкование на Четвероевангелие,Сирин Преподобный Ефрем,Православная литература (RoyalLib),https://royallib.com/get/txt/sirin_prepodobniy_efrem/sobranie_tvoreniy_tolkovanie_na_chetveroevangelie.zip
1,sirin_prepodobniy_efrem_tolkovanie_na_chetveroevangelie_prepodobnogo_efrema_sirina,commentaries,Толкование на Четвероевангелие преподобного Ефрема Сирина,Сирин Преподобный Ефрем,Православная литература (RoyalLib),https://royallib.com/get/txt/sirin_prepodobniy_efrem/tolkovanie_na_chetveroevangelie_prepodobnogo_efrema_sirina.zip
1,uminskiy_protoierey_bogestvennaya_liturgiya_obyasnenie_smisla_znacheniya_soderganiya,commentaries,"Божественная Литургия: Объяснение смысла, значения, содержания",Уминский Протоиерей,Православная литература (RoyalLib),https://royallib.com/get/txt/uminskiy_protoierey/bogestvennaya_liturgiya_obyasnenie_smisla_znacheniya_soderganiya.zip
1,feofilakt_blg_tolkovanie_na_evangelie_ot_luki,commentaries,Толкование на евангелие от луки,Феофилакт Блж.,Православная литература (RoyalLib),https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_luki.zip
1,feofilakt_blg_tolkovanie_na_evangelie_ot_marka,commentaries,Толкование на евангелие от марка,Феофилакт Блж.,Православная литература (RoyalLib),https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_marka.zip
1,feofilakt_blg_tolkovanie_na_evangelie_ot_matfeya,commentaries,Толкование на евангелие от матфея,Феофилакт Блж.,Православная литература (RoyalLib),https://royallib.com/get/txt/feofilakt_blg/tolkovanie_na_evangelie_ot_matfeya.zip
1,feofilakt_blg_arhiepiskop_bolgarskiy_tolkovanie_blagennogo_feofilakta_arhiepiskopa_bolgarskogo_na_knigi_novogo_zaveta,commentaries,ТОЛКОВАНИЕ БЛАЖЕННОГО ФЕОФИЛАКТА АРХИЕПИСКОПА БОЛГАРСКОГО на КНИГИ НОВОГО ЗАВЕТА,"Феофилакт блж., Архиепископ Болгарский",Православная литература (RoyalLib),https://royallib.com/get/txt/feofilakt_blg_arhiepiskop_bolgarskiy/tolkovanie_blagennogo_feofilakta_arhiepiskopa_bolgarskogo_na_knigi_novogo_zaveta.zip
1,svt_feofan_zatornik_pervoe_poslanie_k_korinfyanam_svyatogo_apostola_pavla_istolkovannoe_svyatitelem_feofanom_nachalo,commentaries,ПЕРВОЕ ПОСЛАНИЕ К КОРИНФЯНАМ СВЯТОГО АПОСТОЛА ПАВЛА (истолкованное святителем Феофаном) (начало),свт. Феофан Заторник,Православная литература (RoyalLib),https://royallib.com/get/txt/svt_feofan_zatornik/pervoe_poslanie_k_korinfyanam_svyatogo_apostola_pavla_istolkovannoe_svyatitelem_feofanom_nachalo.zip
1,avgustin_arhimandrit_v_hristianskom_kantone_ustali_shchuritsya_v_gostyah_u_lu_sinya_i_mey_lanfana,sermons,В христианском Кантоне; «Устали щуриться…»; В гостях у Лу Синя и Мэй Ланьфана,Августин Архимандрит,Православная литература (RoyalLib),https://royallib.com/get/txt/avgustin_arhimandrit/v_hristianskom_kantone_ustali_shchuritsya_v_gostyah_u_lu_sinya_i_mey_lanfana.zip
1,agrikov_arhimandrit_tihon_s_evangeliem,sermons,С Евангелием,Агриков Архимандрит ТИХОН,Православная литература (RoyalLib),https://royallib.com/get/txt/agrikov_arhimandrit_tihon/s_evangeliem.zip
1,agrikov_dotsarhimandrit_tihon_pastirskoe_bogoslovie_t1,sermons,"Пастырское богословие, т.1",Агриков доц.архимандрит Тихон,Православная литература (RoyalLib),https://royallib.com/get/txt/agrikov_dotsarhimandrit_tihon/pastirskoe_bogoslovie_t1.zip
1,agrikov_dotsarhimandrit_tihon_pastirskoe_bogoslovie_t2,sermons,"Пастырское богословие, т.2",Агриков доц.архимандрит Тихон,Православная литература (RoyalLib),https://royallib.com/get/txt/agrikov_dotsarhimandrit_tihon/pastirskoe_bogoslovie_t2.zip
1,agrikov_dotsarhimandrit_tihon_pastirskoe_bogoslovie_t3,sermons,"Пастырское богословие, т.3",Агриков доц.архимандрит Тихон,Православная литература (RoyalLib),https://royallib.com/get/txt/agrikov_dotsarhimandrit_tihon/pastirskoe_bogoslovie_t3.zip
1,arhimandrit_krestyankin_ioann_angel_molitvi,sermons,Ангел молитвы,Архимандрит (Крестьянкин) Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/arhimandrit_krestyankin_ioann/angel_molitvi.zip
1,arhimandrit_krestyankin_ioann_propovedi,sermons,Проповеди,Архимандрит (Крестьянкин) Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/arhimandrit_krestyankin_ioann/propovedi.zip
1,arhimandrit_andrey_konanos_duhovnaya_amneziya_besedi_o_tom_kak_ne_zabit_o_boge,sermons,"Духовная амнезия: беседы о том, как не забыть о Боге",Архимандрит Андрей (Конанос),Православная литература (RoyalLib),https://royallib.com/get/txt/arhimandrit_andrey_konanos/duhovnaya_amneziya_besedi_o_tom_kak_ne_zabit_o_boge.zip
1,arhimandrit_lazar_greh_i_pokayanie_poslednih_vremen,sermons,Грех и покаяние последних времен,Архимандрит Лазарь,Православная литература (RoyalLib),https://royallib.com/get/txt/arhimandrit_lazar/greh_i_pokayanie_poslednih_vremen.zip
1,bogoslov_grigoriy_svyatitel_grigoriy_bogoslov_kniga_2_stihotvoreniya_pisma_zaveshchanie,sermons,Святитель Григорий Богослов. Книга 2. Стихотворения. Письма. Завещание,Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/svyatitel_grigoriy_bogoslov_kniga_2_stihotvoreniya_pisma_zaveshchanie.zip
1,bogoslov_grigoriy_slovo_20_o_postavlenii_episkopov_i_o_dogmate_svyatoy_troitsi,sermons,Слово 20. О поставлении епископов и о догмате Святой Троицы,Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_20_o_postavlenii_episkopov_i_o_dogmate_svyatoy_troitsi.zip
1,bogoslov_grigoriy_slovo_27_protiv_evnomian_i_o_bogoslovii_pervoe_ili_predvaritelnoe,sermons,"Слово 27. Против евномиан и о богословии первое, или предварительное",Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_27_protiv_evnomian_i_o_bogoslovii_pervoe_ili_predvaritelnoe.zip
1,bogoslov_grigoriy_slovo_28_o_bogoslovii_vtoroe,sermons,Слово 28. О богословии второе,Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_28_o_bogoslovii_vtoroe.zip
1,bogoslov_grigoriy_slovo_29_o_bogoslovii_trete_o_boge_sine_pervoe,sermons,"Слово 29. О богословии третье, о Боге Сыне первое",Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_29_o_bogoslovii_trete_o_boge_sine_pervoe.zip
1,bogoslov_grigoriy_slovo_30_o_bogoslovii_chetvertoe_o_boge_sine_vtoroe,sermons,"Слово 30. О богословии четвертое, о Боге Сыне второе",Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_30_o_bogoslovii_chetvertoe_o_boge_sine_vtoroe.zip
1,bogoslov_grigoriy_slovo_31_o_bogoslovii_pyatoe_o_svyatom_duhe,sermons,"Слово 31. О богословии пятое, о Святом Духе",Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/slovo_31_o_bogoslovii_pyatoe_o_svyatom_duhe.zip
1,bogoslov_grigoriy_sobranie_sochineniy_svyatitelya_grigoriya_bogoslova,sermons,Собрание сочинений святителя Григория Богослова,Богослов Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslov_grigoriy/sobranie_sochineniy_svyatitelya_grigoriya_bogoslova.zip
1,bogoslovskiy_a_100_duhovnih_istin,sermons,100 духовных истин,Богословский А.,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslovskiy_a/100_duhovnih_istin.zip
1,bogoslovskiy_a_matrona_moskovskaya_svyatoy_dar_istseleniya_i_pomoshchi,sermons,Матрона Московская: Святой дар исцеления и помощи,Богословский А.,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslovskiy_a/matrona_moskovskaya_svyatoy_dar_istseleniya_i_pomoshchi.zip
1,bogoslovskiy_a_spasenie,sermons,Спасение,Богословский А.,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslovskiy_a/spasenie.zip
1,bogoslovskiy_mihail_vvedenie_podushnoy_podati_i_krepostnoe_pravo,sermons,Введение подушной подати и крепостное право,Богословский Михаил,Православная литература (RoyalLib),https://royallib.com/get/txt/bogoslovskiy_mihail/vvedenie_podushnoy_podati_i_krepostnoe_pravo.zip
1,boris_dolgenko_igumen_v_nachale_duhovnogo_puti_razgovor_s_sovremennikom,sermons,В начале духовного пути. Разговор с современником,Борис (Долженко) Игумен,Православная литература (RoyalLib),https://royallib.com/get/txt/boris_dolgenko_igumen/v_nachale_duhovnogo_puti_razgovor_s_sovremennikom.zip
1,borodin_protoierey_fyodor_vozrastay_s_evangeliem_kak_vospitat_rebyonka_v_evangelskom_duhe_pritchi_hristovi,sermons,Возрастай с Евангелием. Как воспитать ребёнка в евангельском духе. Притчи Христовы,Бородин Протоиерей Фёдор,Православная литература (RoyalLib),https://royallib.com/get/txt/borodin_protoierey_fyodor/vozrastay_s_evangeliem_kak_vospitat_rebyonka_v_evangelskom_duhe_pritchi_hristovi.zip
1,bryanchaninov_ignatiy_prakticheskaya_entsiklopediya_osnovi_pravilnoy_duhovnoy_gizni,sermons,Практическая энциклопедия «Основы правильной духовной жизни»,Брянчанинов Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_ignatiy/prakticheskaya_entsiklopediya_osnovi_pravilnoy_duhovnoy_gizni.zip
1,bryanchaninov_ignatiy_slovo_o_smerti_slovo_o_cheloveke,sermons,Слово о смерти. Слово о человеке,Брянчанинов Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_ignatiy/slovo_o_smerti_slovo_o_cheloveke.zip
1,bryanchaninov_svyatitel_ignatiy_asketicheskie_opiti_tom_1,sermons,Аскетические опыты. Том 1,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/asketicheskie_opiti_tom_1.zip
1,bryanchaninov_svyatitel_ignatiy_asketicheskie_opiti_tom_2,sermons,Аскетические опыты. Том 2,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/asketicheskie_opiti_tom_2.zip
1,bryanchaninov_svyatitel_ignatiy_v_pomoshch_kayushchimsya_iz_sochineniy_svyatitelya_ignatiya_bryanchaninova,sermons,В помощь кающимся: из сочинений святителя Игнатия (Брянчанинова),Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/v_pomoshch_kayushchimsya_iz_sochineniy_svyatitelya_ignatiya_bryanchaninova.zip
1,bryanchaninov_svyatitel_ignatiy_izlogenie_ucheniya_pravoslavnoy_tserkvi_o_bogiey_materi,sermons,Изложение Учения Православной Церкви О Божией Матери,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/izlogenie_ucheniya_pravoslavnoy_tserkvi_o_bogiey_materi.zip
1,bryanchaninov_svyatitel_ignatiy_o_molitve_otechnik_5,sermons,О молитве. Отечник № 5.,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/o_molitve_otechnik_5.zip
1,bryanchaninov_svyatitel_ignatiy_slovo_o_smerti,sermons,Слово о смерти,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/slovo_o_smerti.zip
1,bryanchaninov_svyatitel_ignatiy_slovo_o_smerti_slovo_o_cheloveke,sermons,Слово о смерти. Слово о человеке,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/slovo_o_smerti_slovo_o_cheloveke.zip
1,bryanchaninov_svyatitel_ignatiy_slovo_o_cheloveke,sermons,Слово о человеке,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/slovo_o_cheloveke.zip
1,bryanchaninov_svyatitel_ignatiy_slovo_o_cheloveke_o_chudesah_i_znameniyah,sermons,Слово о человеке. О чудесах и знамениях,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/slovo_o_cheloveke_o_chudesah_i_znameniyah.zip
1,bryanchaninov_svyatitel_ignatiy_tom_1_asketicheskie_opiti_chast_I,sermons,Том 1. Аскетические опыты. Часть I,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/tom_1_asketicheskie_opiti_chast_I.zip
1,bryanchaninov_svyatitel_ignatiy_tom_2_asketicheskie_opiti_chastII,sermons,Том 2. Аскетические опыты. Часть II,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/tom_2_asketicheskie_opiti_chastII.zip
1,bryanchaninov_svyatitel_ignatiy_tom_3_slovo_o_smerti,sermons,Том 3. Слово о смерти,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/tom_3_slovo_o_smerti.zip
1,bryanchaninov_svyatitel_ignatiy_tom3_slovo_o_smerti,sermons,Том 3. Слово о смерти,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/tom3_slovo_o_smerti.zip
1,bryanchaninov_svyatitel_ignatiy_tom_4_asketicheskaya_propoved,sermons,Том 4. Аскетическая проповедь,Брянчанинов Святитель Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svyatitel_ignatiy/tom_4_asketicheskaya_propoved.zip
1,bryanchaninov_svtignatiy_slovo_o_smerti,sermons,Слово о смерти,Брянчанинов свт.Игнатий,Православная литература (RoyalLib),https://royallib.com/get/txt/bryanchaninov_svtignatiy/slovo_o_smerti.zip
1,vasilopulos_arhimandrit_harlampiy_pochemu_ti_ne_v_tserkvi,sermons,Почему ты не в Церкви?,Василопулос Архимандрит Харлампий,Православная литература (RoyalLib),https://royallib.com/get/txt/vasilopulos_arhimandrit_harlampiy/pochemu_ti_ne_v_tserkvi.zip
1,vorobev_protoierey_vladimir_pokayanie_ispoved_duhovnoe_rukovodstvo,sermons,"Покаяние, Исповедь, Духовное руководство",Воробьев Протоиерей Владимир,Православная литература (RoyalLib),https://royallib.com/get/txt/vorobev_protoierey_vladimir/pokayanie_ispoved_duhovnoe_rukovodstvo.zip
1,gaponov_protoierey_sobesedovaniya_ottsa_duhovnogo_so_svoimi_prihoganami_o_molitve,sermons,Собеседования отца духовного со своими прихожанами о молитве,Гапонов протоиерей,Православная литература (RoyalLib),https://royallib.com/get/txt/gaponov_protoierey/sobesedovaniya_ottsa_duhovnogo_so_svoimi_prihoganami_o_molitve.zip
1,govorov_zatvornik_svt_feofan_bolezn_i_smert_po_trudam_svyatitelya_feofana_zatvornika,sermons,Болезнь и смерть. (По трудам святителя Феофана Затворника),Говоров (Затворник) Свт. Феофан,Православная литература (RoyalLib),https://royallib.com/get/txt/govorov_zatvornik_svt_feofan/bolezn_i_smert_po_trudam_svyatitelya_feofana_zatvornika.zip
1,govorov_svt_feofan_zatvornik_bolezn_i_smert_po_trudam_svyatitelya_feofana_zatvornika,sermons,Болезнь и смерть. (По трудам святителя Феофана Затворника),Говоров Свт. Феофан (Затворник),Православная литература (RoyalLib),https://royallib.com/get/txt/govorov_svt_feofan_zatvornik/bolezn_i_smert_po_trudam_svyatitelya_feofana_zatvornika.zip
1,grigorev_protoierey_dmitriy_ot_drevnego_valaama_do_novogo_sveta_russkaya_pravoslavnaya_missiya_v_severnoy_amerike,sermons,От древнего Валаама до Нового Света. Русская Православная Миссия в Северной Америке,Григорьев Протоиерей Дмитрий,Православная литература (RoyalLib),https://royallib.com/get/txt/grigorev_protoierey_dmitriy/ot_drevnego_valaama_do_novogo_sveta_russkaya_pravoslavnaya_missiya_v_severnoy_amerike.zip
1,damaskin_ioann_beseda_saratsina_s_hristianinom,sermons,Беседа сарацина с христианином,Дамаскин Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/damaskin_ioann/beseda_saratsina_s_hristianinom.zip
1,damaskin_ioann_tochnoe_izlogenie_pravoslavnoy_veri,sermons,Точное изложение православной веры,Дамаскин Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/damaskin_ioann/tochnoe_izlogenie_pravoslavnoy_veri.zip
1,dimitriy_protoierey_propovedi_1,sermons,Проповеди 1,Димитрий Протоиерей,Православная литература (RoyalLib),https://royallib.com/get/txt/dimitriy_protoierey/propovedi_1.zip
1,dimitriy_protoierey_propovedi_2,sermons,Проповеди 2,Димитрий Протоиерей,Православная литература (RoyalLib),https://royallib.com/get/txt/dimitriy_protoierey/propovedi_2.zip
1,dimitriy_protoierey_propovedi_3,sermons,Проповеди 3,Димитрий Протоиерей,Православная литература (RoyalLib),https://royallib.com/get/txt/dimitriy_protoierey/propovedi_3.zip
1,dmitrovskiy_svyashchennomuchenik_hleb_nebesniy_propovedi_o_bogestvennoy_liturgii,sermons,Хлеб Небесный. Проповеди о Божественной литургии,Дмитровский Священномученик,Православная литература (RoyalLib),https://royallib.com/get/txt/dmitrovskiy_svyashchennomuchenik/hleb_nebesniy_propovedi_o_bogestvennoy_liturgii.zip
1,dyachenko_protoierey_grigoriy_ne_stidis_ispovedovat_grehi_svoi,sermons,Не стыдись исповедовать грехи свои,Дьяченко Протоиерей Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/dyachenko_protoierey_grigoriy/ne_stidis_ispovedovat_grehi_svoi.zip
1,dyachenko_protoierey_grigoriy_polniy_godichniy_krug_kratkih_poucheniy_tom_i_yanvar__mart,sermons,Полный годичный круг кратких поучений. Том I (январь – март),Дьяченко Протоиерей Григорий,Православная литература (RoyalLib),https://royallib.com/get/txt/dyachenko_protoierey_grigoriy/polniy_godichniy_krug_kratkih_poucheniy_tom_i_yanvar__mart.zip
1,efrem_sirin_svyatoy_prepodobniy_svyatoy_prepodobniy_efrem_sirin_tvoreniya_tom_3,sermons,Святой преподобный Ефрем Сирин. Творения. Том 3,Ефрем Сирин Святой преподобный,Православная литература (RoyalLib),https://royallib.com/get/txt/efrem_sirin_svyatoy_prepodobniy/svyatoy_prepodobniy_efrem_sirin_tvoreniya_tom_3.zip
1,zaev_professor_kda_protoierey_vasiliy_konspekt_po_istorii_pomestnih_pravoslavnih_tserkvey,sermons,Конспект по истории Поместных Православных Церквей,Заев профессор КДА протоиерей Василий,Православная литература (RoyalLib),https://royallib.com/get/txt/zaev_professor_kda_protoierey_vasiliy/konspekt_po_istorii_pomestnih_pravoslavnih_tserkvey.zip
1,zatvornik_feofan_nachertanie_hristianskogo_nravoucheniya,sermons,Начертание христианского нравоучения,Затворник Феофан,Православная литература (RoyalLib),https://royallib.com/get/txt/zatvornik_feofan/nachertanie_hristianskogo_nravoucheniya.zip
1,zatvornik_feofan_put_ko_spaseniyu,sermons,ПУТЬ КО СПАСЕНИЮ,Затворник Феофан,Православная литература (RoyalLib),https://royallib.com/get/txt/zatvornik_feofan/put_ko_spaseniyu.zip
1,zatvornik_feofan_pisma_o_duhovnoy_gizni,sermons,Письма о духовной жизни,Затворник Феофан,Православная литература (RoyalLib),https://royallib.com/get/txt/zatvornik_feofan/pisma_o_duhovnoy_gizni.zip
1,zatvornik_feofan_chto_est_duhovnaya_gizn_i_kak_na_nee_nastroitsya,sermons,Что есть духовная жизнь и как на нее настроиться,Затворник Феофан,Православная литература (RoyalLib),https://royallib.com/get/txt/zatvornik_feofan/chto_est_duhovnaya_gizn_i_kak_na_nee_nastroitsya.zip
1,zlatoust_ioann_pochemu_nelzya_gelat_zla_drugim_besedi_svyatitelya_ioanna_zlatoustogo_o_borbe_so_strastyami,sermons,Почему нельзя желать зла другим. Беседы святителя Иоанна Златоустого о борьбе со страстями,Златоуст Иоанн,Православная литература (RoyalLib),https://royallib.com/get/txt/zlatoust_ioann/pochemu_nelzya_gelat_zla_drugim_besedi_svyatitelya_ioanna_zlatoustogo_o_borbe_so_strastyami.zip
1,ilarion_alfeev_mitropolit_vo_chto_veryat_pravoslavnie_hristiane,sermons,Во что верят православные христиане,Иларион (Алфеев) Митрополит,Православная литература (RoyalLib),https://royallib.com/get/txt/ilarion_alfeev_mitropolit/vo_chto_veryat_pravoslavnie_hristiane.zip
